State,Year,Quarter,Brand,Transaction_count,Percentage,Region
Andaman and Nicobar Islands,2018,1,Xiaomi,1665,0.24703264094955402,Southern Region
Andaman and Nicobar Islands,2018,1,Samsung,1445,0.21439169139465802,Southern Region
Andaman and Nicobar Islands,2018,1,Vivo,982,0.145697329376854,Southern Region
Andaman and Nicobar Islands,2018,1,Oppo,501,0.07433234421364901,Southern Region
Andaman and Nicobar Islands,2018,1,OnePlus,332,0.049258160237388,Southern Region
Andaman and Nicobar Islands,2018,1,Realme,316,0.046884272997032,Southern Region
Andaman and Nicobar Islands,2018,1,Apple,229,0.033976261127596004,Southern Region
Andaman and Nicobar Islands,2018,1,Motorola,226,0.033531157270029005,Southern Region
Andaman and Nicobar Islands,2018,1,Lenovo,202,0.029970326409495002,Southern Region
Andaman and Nicobar Islands,2018,1,Huawei,158,0.023442136498516,Southern Region
Andaman and Nicobar Islands,2018,1,Others,684,0.10148367952522201,Southern Region
Andaman and Nicobar Islands,2018,2,Xiaomi,2303,0.24486975013290802,Southern Region
Andaman and Nicobar Islands,2018,2,Samsung,1923,0.20446570972886702,Southern Region
Andaman and Nicobar Islands,2018,2,Vivo,1523,0.16193514088250902,Southern Region
Andaman and Nicobar Islands,2018,2,Oppo,708,0.075279106858054,Southern Region
Andaman and Nicobar Islands,2018,2,OnePlus,466,0.049548112706007,Southern Region
Andaman and Nicobar Islands,2018,2,Realme,465,0.049441786283891,Southern Region
Andaman and Nicobar Islands,2018,2,Motorola,319,0.03391812865497,Southern Region
Andaman and Nicobar Islands,2018,2,Apple,308,0.032748538011695,Southern Region
Andaman and Nicobar Islands,2018,2,Lenovo,244,0.025943646996278002,Southern Region
Andaman and Nicobar Islands,2018,2,Huawei,230,0.024455077086656,Southern Region
Andaman and Nicobar Islands,2018,2,Others,916,0.09739500265816001,Southern Region
Andaman and Nicobar Islands,2018,3,Xiaomi,2950,0.24281833895793803,Southern Region
Andaman and Nicobar Islands,2018,3,Samsung,2409,0.19828792493209302,Southern Region
Andaman and Nicobar Islands,2018,3,Vivo,2063,0.16980821466787302,Southern Region
Andaman and Nicobar Islands,2018,3,Oppo,988,0.081323565725574,Southern Region
Andaman and Nicobar Islands,2018,3,OnePlus,617,0.050786072927812,Southern Region
Andaman and Nicobar Islands,2018,3,Realme,603,0.049633714709029005,Southern Region
Andaman and Nicobar Islands,2018,3,Motorola,390,0.032101407523252,Southern Region
Andaman and Nicobar Islands,2018,3,Apple,371,0.030537492797761003,Southern Region
Andaman and Nicobar Islands,2018,3,Huawei,314,0.025845748621285,Southern Region
Andaman and Nicobar Islands,2018,3,Lenovo,299,0.02461107910116,Southern Region
Andaman and Nicobar Islands,2018,3,Others,1145,0.094246440036216,Southern Region
Andaman and Nicobar Islands,2018,4,Xiaomi,3719,0.244317435291026,Southern Region
Andaman and Nicobar Islands,2018,4,Samsung,2936,0.19287872815661503,Southern Region
Andaman and Nicobar Islands,2018,4,Vivo,2742,0.180134016554986,Southern Region
Andaman and Nicobar Islands,2018,4,Oppo,1268,0.08330048613848301,Southern Region
Andaman and Nicobar Islands,2018,4,Realme,760,0.049927736171330006,Southern Region
Andaman and Nicobar Islands,2018,4,OnePlus,721,0.047365654973065004,Southern Region
Andaman and Nicobar Islands,2018,4,Motorola,474,0.031139140717382004,Southern Region
Andaman and Nicobar Islands,2018,4,Apple,455,0.029890947313099003,Southern Region
Andaman and Nicobar Islands,2018,4,Huawei,398,0.026146367100249004,Southern Region
Andaman and Nicobar Islands,2018,4,Lenovo,377,0.024766784916568002,Southern Region
Andaman and Nicobar Islands,2018,4,Others,1372,0.090132702667192,Southern Region
Andaman and Nicobar Islands,2019,1,Xiaomi,4576,0.24607442460744203,Southern Region
Andaman and Nicobar Islands,2019,1,Samsung,3567,0.191815444181544,Southern Region
Andaman and Nicobar Islands,2019,1,Vivo,3420,0.18391051839105102,Southern Region
Andaman and Nicobar Islands,2019,1,Oppo,1600,0.086040008604,Southern Region
Andaman and Nicobar Islands,2019,1,Realme,897,0.048236179823617005,Southern Region
Andaman and Nicobar Islands,2019,1,OnePlus,855,0.045977629597762006,Southern Region
Andaman and Nicobar Islands,2019,1,Motorola,561,0.030167778016777003,Southern Region
Andaman and Nicobar Islands,2019,1,Apple,515,0.027694127769412002,Southern Region
Andaman and Nicobar Islands,2019,1,Huawei,515,0.027694127769412002,Southern Region
Andaman and Nicobar Islands,2019,1,Lenovo,426,0.022908152290815,Southern Region
Andaman and Nicobar Islands,2019,1,Others,1664,0.08948160894816001,Southern Region
Andaman and Nicobar Islands,2019,2,Xiaomi,5296,0.24370714647278002,Southern Region
Andaman and Nicobar Islands,2019,2,Samsung,4165,0.19166168146886903,Southern Region
Andaman and Nicobar Islands,2019,2,Vivo,4102,0.18876259721135702,Southern Region
Andaman and Nicobar Islands,2019,2,Oppo,1905,0.087662785881919,Southern Region
Andaman and Nicobar Islands,2019,2,Realme,1012,0.04656941696194301,Southern Region
Andaman and Nicobar Islands,2019,2,OnePlus,950,0.043716349914868,Southern Region
Andaman and Nicobar Islands,2019,2,Huawei,644,0.029635083521236002,Southern Region
Andaman and Nicobar Islands,2019,2,Motorola,630,0.028990842575123,Southern Region
Andaman and Nicobar Islands,2019,2,Apple,569,0.026183792738484,Southern Region
Andaman and Nicobar Islands,2019,2,Lenovo,477,0.021950209378307002,Southern Region
Andaman and Nicobar Islands,2019,2,Others,1981,0.09116009387510901,Southern Region
Andaman and Nicobar Islands,2019,3,Xiaomi,5819,0.24315741088964102,Southern Region
Andaman and Nicobar Islands,2019,3,Vivo,4685,0.19577117546278802,Southern Region
Andaman and Nicobar Islands,2019,3,Samsung,4508,0.188374911203042,Southern Region
Andaman and Nicobar Islands,2019,3,Oppo,2108,0.088086582257323,Southern Region
Andaman and Nicobar Islands,2019,3,Realme,1158,0.04838911871630901,Southern Region
Andaman and Nicobar Islands,2019,3,OnePlus,1045,0.043667209895115,Southern Region
Andaman and Nicobar Islands,2019,3,Huawei,725,0.030295432702352004,Southern Region
Andaman and Nicobar Islands,2019,3,Motorola,660,0.027579290460072,Southern Region
Andaman and Nicobar Islands,2019,3,Apple,630,0.026325686348251002,Southern Region
Andaman and Nicobar Islands,2019,3,Lenovo,483,0.020183026200325003,Southern Region
Andaman and Nicobar Islands,2019,3,Others,2110,0.088170155864777,Southern Region
Andaman and Nicobar Islands,2019,4,Xiaomi,6259,0.24110169491525402,Southern Region
Andaman and Nicobar Islands,2019,4,Vivo,5190,0.19992295839753402,Southern Region
Andaman and Nicobar Islands,2019,4,Samsung,4900,0.18875192604006102,Southern Region
Andaman and Nicobar Islands,2019,4,Oppo,2329,0.089714946070878,Southern Region
Andaman and Nicobar Islands,2019,4,Realme,1329,0.051194144838212004,Southern Region
Andaman and Nicobar Islands,2019,4,OnePlus,1124,0.043297380585516,Southern Region
Andaman and Nicobar Islands,2019,4,Huawei,798,0.030739599383667004,Southern Region
Andaman and Nicobar Islands,2019,4,Motorola,682,0.026271186440677004,Southern Region
Andaman and Nicobar Islands,2019,4,Apple,678,0.026117103235747,Southern Region
Andaman and Nicobar Islands,2019,4,Lenovo,488,0.01879815100154,Southern Region
Andaman and Nicobar Islands,2019,4,Others,2183,0.08409090909090901,Southern Region
Andaman and Nicobar Islands,2020,1,Xiaomi,6803,0.23981246474901202,Southern Region
Andaman and Nicobar Islands,2020,1,Vivo,5880,0.207275803722504,Southern Region
Andaman and Nicobar Islands,2020,1,Samsung,5335,0.188064015792442,Southern Region
Andaman and Nicobar Islands,2020,1,Oppo,2557,0.090136773829667,Southern Region
Andaman and Nicobar Islands,2020,1,Realme,1511,0.053264241398759,Southern Region
Andaman and Nicobar Islands,2020,1,OnePlus,1184,0.041737168640721,Southern Region
Andaman and Nicobar Islands,2020,1,Huawei,891,0.031408629441624,Southern Region
Andaman and Nicobar Islands,2020,1,Apple,735,0.025909475465313,Southern Region
Andaman and Nicobar Islands,2020,1,Motorola,715,0.025204455724760003,Southern Region
Andaman and Nicobar Islands,2020,1,Lenovo,500,0.017625493513818,Southern Region
Andaman and Nicobar Islands,2020,1,Others,2257,0.079561477721376,Southern Region
Andaman and Nicobar Islands,2020,2,Xiaomi,7805,0.23861204524610202,Southern Region
Andaman and Nicobar Islands,2020,2,Vivo,7122,0.21773158055640401,Southern Region
Andaman and Nicobar Islands,2020,2,Samsung,6030,0.18434729440538,Southern Region
Andaman and Nicobar Islands,2020,2,Oppo,2976,0.090981351268725,Southern Region
Andaman and Nicobar Islands,2020,2,Realme,1761,0.053836747172118005,Southern Region
Andaman and Nicobar Islands,2020,2,OnePlus,1271,0.038856618771018,Southern Region
Andaman and Nicobar Islands,2020,2,Huawei,1005,0.030724549067563004,Southern Region
Andaman and Nicobar Islands,2020,2,Apple,792,0.024212778966676,Southern Region
Andaman and Nicobar Islands,2020,2,Motorola,779,0.023815346988688,Southern Region
Andaman and Nicobar Islands,2020,2,Lenovo,552,0.016875573219199,Southern Region
Andaman and Nicobar Islands,2020,2,Others,2617,0.080006114338122,Southern Region
Andaman and Nicobar Islands,2020,3,Xiaomi,9794,0.23694205878795202,Southern Region
Andaman and Nicobar Islands,2020,3,Vivo,9556,0.23118422644248202,Southern Region
Andaman and Nicobar Islands,2020,3,Samsung,7572,0.18318616184831202,Southern Region
Andaman and Nicobar Islands,2020,3,Oppo,3730,0.090238296842869,Southern Region
Andaman and Nicobar Islands,2020,3,Realme,2285,0.055280029031087,Southern Region
Andaman and Nicobar Islands,2020,3,OnePlus,1440,0.034837304947381,Southern Region
Andaman and Nicobar Islands,2020,3,Huawei,1213,0.029345590903592,Southern Region
Andaman and Nicobar Islands,2020,3,Motorola,907,0.021942663602274003,Southern Region
Andaman and Nicobar Islands,2020,3,Apple,870,0.021047538405709002,Southern Region
Andaman and Nicobar Islands,2020,3,Lenovo,606,0.014660699165356,Southern Region
Andaman and Nicobar Islands,2020,3,Others,3362,0.081335430022982,Southern Region
Andaman and Nicobar Islands,2020,4,Xiaomi,12398,0.23662111611573403,Southern Region
Andaman and Nicobar Islands,2020,4,Vivo,12275,0.234273608672417,Southern Region
Andaman and Nicobar Islands,2020,4,Samsung,9938,0.18967096724940802,Southern Region
Andaman and Nicobar Islands,2020,4,Oppo,4723,0.09014046873807101,Southern Region
Andaman and Nicobar Islands,2020,4,Realme,2996,0.057179937399801005,Southern Region
Andaman and Nicobar Islands,2020,4,OnePlus,1638,0.03126192839148,Southern Region
Andaman and Nicobar Islands,2020,4,Huawei,1472,0.028093747614321003,Southern Region
Andaman and Nicobar Islands,2020,4,Motorola,1032,0.019696160012214,Southern Region
Andaman and Nicobar Islands,2020,4,Apple,973,0.018570119856477,Southern Region
Andaman and Nicobar Islands,2020,4,Lenovo,708,0.013512481868844002,Southern Region
Andaman and Nicobar Islands,2020,4,Others,4243,0.08097946408122701,Southern Region
Andaman and Nicobar Islands,2021,1,Vivo,13812,0.23913570414488003,Southern Region
Andaman and Nicobar Islands,2021,1,Xiaomi,13714,0.237438969493403,Southern Region
Andaman and Nicobar Islands,2021,1,Samsung,10861,0.18804321479275501,Southern Region
