State,Year,Quarter,District,Transaction_count,Transaction_amount,Latitude,Longitude,Region
Andaman and Nicobar Islands,2018,1,North and Middle Andaman,442,931663.0770939873,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,1,South Andaman,5688,12560249.34366581,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,1,Nicobars,528,1139848.801225994,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,2,North and Middle Andaman,825,1317863.0834906558,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,2,South Andaman,9395,23948235.51634325,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,2,Nicobars,1120,3072436.9081196385,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,3,North and Middle Andaman,1283,4901529.518499676,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,3,South Andaman,13511,44268112.464252464,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,3,Nicobars,1471,6387829.151558982,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,4,North and Middle Andaman,2137,7955635.917688001,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,4,South Andaman,20136,75411840.8018554,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,4,Nicobars,1485,7180859.354911782,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,1,North and Middle Andaman,3264,9561708.736298349,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,1,South Andaman,25683,85501972.38780196,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,1,Nicobars,1539,7236059.549389593,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,2,North and Middle Andaman,3371,8612103.137888122,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,2,South Andaman,28490,102530955.71341251,10.7056905,92.48746789633373,Southern Region
