State,Year,Quarter,District,Registered_users,App_opens,Latitude,Longitude,Region
Andaman and Nicobar Islands,2018,1,North and Middle Andaman,632,0,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,1,South Andaman,5846,0,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,1,Nicobars,262,0,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,2,North and Middle Andaman,911,0,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,2,South Andaman,8143,0,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,2,Nicobars,351,0,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,3,North and Middle Andaman,1208,0,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,3,South Andaman,10474,0,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,3,Nicobars,467,0,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,4,North and Middle Andaman,1553,0,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,4,South Andaman,13133,0,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,4,Nicobars,536,0,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,1,North and Middle Andaman,2013,0,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,1,South Andaman,15961,0,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,1,Nicobars,622,0,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,2,North and Middle Andaman,2417,6118,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,2,South Andaman,18621,43569,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,2,Nicobars,693,2953,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,3,North and Middle Andaman,2662,22064,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,3,South Andaman,20518,138190,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,3,Nicobars,751,10853,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,4,North and Middle Andaman,2955,26253,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,4,South Andaman,22202,139646,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,4,Nicobars,803,11113,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,1,North and Middle Andaman,3315,30444,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2020,1,South Andaman,24174,151529,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,1,Nicobars,879,11613,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,2,North and Middle Andaman,4100,56992,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2020,2,South Andaman,27626,231071,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,2,Nicobars,984,17009,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,3,North and Middle Andaman,5355,76553,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2020,3,South Andaman,34833,417785,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,3,Nicobars,1147,21227,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,4,North and Middle Andaman,7076,125915,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2020,4,South Andaman,43908,725321,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,4,Nicobars,1412,35972,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,1,North and Middle Andaman,7833,121680,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2021,1,South Andaman,48352,837589,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,1,Nicobars,1573,45067,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,2,North and Middle Andaman,8493,596182,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2021,2,South Andaman,51903,1270226,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,2,Nicobars,1699,381815,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,3,North and Middle Andaman,9263,759314,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2021,3,South Andaman,55873,1771107,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,3,Nicobars,1846,591204,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,4,North and Middle Andaman,10002,171921,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2021,4,South Andaman,59807,1863037,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,4,Nicobars,1971,77952,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,1,North and Middle Andaman,10720,904869,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2022,1,South Andaman,63487,2368756,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,1,Nicobars,2081,573782,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,2,North and Middle Andaman,11379,963824,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2022,2,South Andaman,66959,3404740,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,2,Nicobars,2192,811449,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,3,North and Middle Andaman,11897,1176567,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2022,3,South Andaman,70445,3607286,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,3,Nicobars,2300,1284501,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,4,North and Middle Andaman,12361,313502,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2022,4,South Andaman,73692,3881359,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,4,Nicobars,2389,159232,10.7056905,92.48746789633373,Southern Region
Andhra Pradesh,2018,1,East Godavari,350356,0,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,1,Srikakulam,143839,0,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,1,Visakhapatnam,497187,0,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,1,Prakasam,189949,0,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,1,Anantapur,241192,0,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,1,Kurnool,240133,0,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2018,1,Guntur,317065,0,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,1,Krishna,323673,0,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2018,1,Spsr Nellore,194475,0,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2018,1,Vizianagaram,128905,0,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,1,Ysr,186800,0,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2018,1,West Godavari,213335,0,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2018,1,Chittoor,309541,0,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,2,East Godavari,454398,0,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,2,Srikakulam,186913,0,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,2,Visakhapatnam,636052,0,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,2,Prakasam,253458,0,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,2,Anantapur,326383,0,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,2,Kurnool,319313,0,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2018,2,Guntur,420326,0,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,2,Krishna,431965,0,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2018,2,Spsr Nellore,261049,0,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2018,2,Vizianagaram,167327,0,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,2,Ysr,248657,0,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2018,2,West Godavari,282393,0,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2018,2,Chittoor,414306,0,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,3,East Godavari,558982,0,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,3,Srikakulam,228456,0,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,3,Visakhapatnam,769096,0,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,3,Prakasam,314899,0,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,3,Anantapur,405855,0,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,3,Kurnool,394311,0,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2018,3,Guntur,518931,0,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,3,Krishna,537086,0,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2018,3,Spsr Nellore,322446,0,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2018,3,Vizianagaram,203655,0,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,3,Ysr,308391,0,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2018,3,West Godavari,349782,0,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2018,3,Chittoor,515727,0,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,4,East Godavari,694455,0,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,4,Srikakulam,284874,0,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,4,Visakhapatnam,978288,0,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,4,Prakasam,394962,0,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,4,Anantapur,510892,0,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,4,Kurnool,498582,0,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2018,4,Guntur,659552,0,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,4,Krishna,682479,0,17.0347692,81.7819183,Southern Region
