State,Year,Quarter,District,Transaction_count,Transaction_amount,Latitude,Longitude,Region
Andaman and Nicobar Islands,2018,1,South Andaman,5688,12560249.34366581,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,1,Nicobars,528,1139848.801225994,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,1,North and Middle Andaman,442,931663.0770939873,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,2,South Andaman,9395,23948235.51634325,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,2,Nicobars,1120,3072436.9081196385,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,2,North and Middle Andaman,825,1317863.0834906558,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,3,South Andaman,13511,44268112.464252464,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,3,Nicobars,1471,6387829.151558982,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,3,North and Middle Andaman,1283,4901529.518499676,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,4,South Andaman,20136,75411840.8018554,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,4,North and Middle Andaman,2137,7955635.917688001,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,4,Nicobars,1485,7180859.354911782,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,1,South Andaman,25683,85501972.38780196,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,1,North and Middle Andaman,3264,9561708.736298349,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,1,Nicobars,1539,7236059.549389593,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,2,South Andaman,28490,102530955.71341251,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,2,North and Middle Andaman,3371,8612103.13788812,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,2,Nicobars,1828,9111650.82436246,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,3,South Andaman,27421,91023888.32848613,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,3,North and Middle Andaman,4049,11481466.28335679,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,3,Nicobars,2300,11566421.47545101,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,4,South Andaman,27843,110930312.2061162,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,4,North and Middle Andaman,4716,13524056.784573939,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,4,Nicobars,2600,12384161.52668771,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,1,South Andaman,32713,134679396.90582752,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,1,North and Middle Andaman,5674,14697371.6178571,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2020,1,Nicobars,2911,12099543.77359005,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,2,South Andaman,48088,132855778.74838582,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,2,North and Middle Andaman,10979,22447714.061058953,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2020,2,Nicobars,3895,14341508.60470232,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,3,South Andaman,95323,282366109.2052393,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,3,North and Middle Andaman,16747,33486883.370425563,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2020,3,Nicobars,5413,22166453.75469538,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,4,South Andaman,186494,523122462.88302904,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,4,North and Middle Andaman,29349,68941322.38839513,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2020,4,Nicobars,8688,35218871.04342848,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,1,South Andaman,207092,669604045.1248703,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,1,North and Middle Andaman,27358,75027255.27919498,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2021,1,Nicobars,10302,39075266.9856904,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,2,South Andaman,286907,760893020.5704948,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,2,North and Middle Andaman,39200,90233388.79463303,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2021,2,Nicobars,15307,48020606.74716838,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,3,South Andaman,382418,1116789010.645961,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,3,North and Middle Andaman,46592,118254865.8275068,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2021,3,Nicobars,20754,74980519.32813609,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,4,South Andaman,558571,1694794708.0093331,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,4,North and Middle Andaman,53115,156486112.2873243,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2021,4,Nicobars,24437,81329281.02699961,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,1,South Andaman,705512,1872991195.9026842,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,1,North and Middle Andaman,60059,161624878.52274162,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2022,1,Nicobars,29177,94414127.64974089,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,2,South Andaman,954875,2357326563.362071,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,2,North and Middle Andaman,72573,195693167.78757262,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2022,2,Nicobars,43769,132900618.93062322,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,3,South Andaman,1455255,2967719400.849909,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,3,North and Middle Andaman,79574,211581970.34202647,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2022,3,Nicobars,49550,131330400.94545081,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,4,South Andaman,1835592,3600887266.099448,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,4,North and Middle Andaman,93297,241431284.3558103,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2022,4,Nicobars,58646,142355853.9735252,10.7056905,92.48746789633373,Southern Region
Andhra Pradesh,2018,1,Visakhapatnam,1256469,1749966196.5049942,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,1,East Godavari,943935,1235785515.599726,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,1,Krishna,863935,1284255179.6156201,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2018,1,Chittoor,830324,1009621878.0870509,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,1,Guntur,815932,1108686589.026682,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,1,Kurnool,679623,764905298.7350456,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2018,1,Anantapur,638664,788830646.0324218,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,1,West Godavari,577090,853547668.7532667,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2018,1,Prakasam,534757,748990775.8676486,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,1,Spsr Nellore,531612,676643237.8069417,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2018,2,Visakhapatnam,1641192,2987853607.2939086,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,2,Krishna,1224987,2448141593.4919834,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2018,2,East Godavari,1221677,2168914928.423901,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,2,Chittoor,1185723,1990419125.893711,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,2,Guntur,1088101,2108475811.785997,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,2,Kurnool,968439,1531888665.684323,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2018,2,Anantapur,937023,1690366079.055792,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,2,West Godavari,786033,1688025212.304594,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2018,2,Spsr Nellore,780454,1542057934.010896,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2018,2,Prakasam,739991,1571167562.1276271,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,3,Visakhapatnam,3394576,4821892253.393524,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,3,East Godavari,3226907,3551247095.307446,17.233496,81.7225986,Southern Region
