State,Year,Quarter,Pincode,Transaction_count,Transaction_amount,Region
Andaman and Nicobar Islands,2018,1,744101,1622,2769297.9039997994,Southern Region
Andaman and Nicobar Islands,2018,1,744103,1223,2238041.8716124697,Southern Region
Andaman and Nicobar Islands,2018,1,744102,969,3519059.937562449,Southern Region
Andaman and Nicobar Islands,2018,1,744105,685,1298560.9515503529,Southern Region
Andaman and Nicobar Islands,2018,1,744104,340,1039715.3111450541,Southern Region
Andaman and Nicobar Islands,2018,1,744107,302,556059.5308556345,Southern Region
Andaman and Nicobar Islands,2018,1,744301,283,445739.1633851439,Southern Region
Andaman and Nicobar Islands,2018,1,744112,269,333709.56700413954,Southern Region
Andaman and Nicobar Islands,2018,1,744202,193,238914.01667155625,Southern Region
Andaman and Nicobar Islands,2018,1,744302,168,547469.6509380838,Southern Region
Andaman and Nicobar Islands,2018,2,744101,2701,6310089.917084678,Southern Region
Andaman and Nicobar Islands,2018,2,744103,1965,4752146.698501162,Southern Region
Andaman and Nicobar Islands,2018,2,744102,1525,5810267.574788321,Southern Region
Andaman and Nicobar Islands,2018,2,744105,997,2200332.971862734,Southern Region
Andaman and Nicobar Islands,2018,2,744301,767,1953749.3787199226,Southern Region
Andaman and Nicobar Islands,2018,2,744104,659,1650346.1906506256,Southern Region
Andaman and Nicobar Islands,2018,2,744107,594,1601569.9821441039,Southern Region
Andaman and Nicobar Islands,2018,2,744112,432,578829.1795229593,Southern Region
Andaman and Nicobar Islands,2018,2,744202,405,626523.9803147907,Southern Region
Andaman and Nicobar Islands,2018,2,744302,291,1026590.0735863491,Southern Region
Andaman and Nicobar Islands,2018,3,744101,3462,10833893.44448876,Southern Region
Andaman and Nicobar Islands,2018,3,744103,3182,10184154.358592119,Southern Region
Andaman and Nicobar Islands,2018,3,744102,2224,10365275.4797007,Southern Region
Andaman and Nicobar Islands,2018,3,744105,1613,5152534.080403434,Southern Region
Andaman and Nicobar Islands,2018,3,744104,1029,2588077.6866583927,Southern Region
Andaman and Nicobar Islands,2018,3,744301,975,4256576.349618757,Southern Region
Andaman and Nicobar Islands,2018,3,744112,579,1145815.7801705198,Southern Region
Andaman and Nicobar Islands,2018,3,744107,547,1492405.302862124,Southern Region
Andaman and Nicobar Islands,2018,3,744302,417,1976781.9199490356,Southern Region
Andaman and Nicobar Islands,2018,3,744202,341,2099404.0789861116,Southern Region
Andaman and Nicobar Islands,2018,4,744101,4674,16392855.280625312,Southern Region
Andaman and Nicobar Islands,2018,4,744103,4576,17022520.25762476,Southern Region
Andaman and Nicobar Islands,2018,4,744102,3306,17019977.18305362,Southern Region
Andaman and Nicobar Islands,2018,4,744105,2513,9935282.832151461,Southern Region
Andaman and Nicobar Islands,2018,4,744104,1432,6091757.917089159,Southern Region
Andaman and Nicobar Islands,2018,4,744211,1225,3451359.606027063,Southern Region
Andaman and Nicobar Islands,2018,4,744301,928,4606293.657525641,Southern Region
Andaman and Nicobar Islands,2018,4,744112,759,2208675.0435713646,Southern Region
Andaman and Nicobar Islands,2018,4,744107,747,1825659.5128978956,Southern Region
Andaman and Nicobar Islands,2018,4,744202,702,3797054.1677634423,Southern Region
Andaman and Nicobar Islands,2019,1,744103,5742,19401964.779657554,Southern Region
Andaman and Nicobar Islands,2019,1,744101,5156,15501306.22719591,Southern Region
Andaman and Nicobar Islands,2019,1,744102,3925,16683547.09479575,Southern Region
Andaman and Nicobar Islands,2019,1,744105,3553,11588669.48032856,Southern Region
Andaman and Nicobar Islands,2019,1,744104,2833,9141657.219605077,Southern Region
Andaman and Nicobar Islands,2019,1,744211,1511,5794838.401831552,Southern Region
Andaman and Nicobar Islands,2019,1,744202,1112,3613381.294736007,Southern Region
Andaman and Nicobar Islands,2019,1,744107,1029,3592930.2975779255,Southern Region
Andaman and Nicobar Islands,2019,1,744301,920,4652963.41114777,Southern Region
Andaman and Nicobar Islands,2019,1,744112,802,1893718.6537822199,Southern Region
Andaman and Nicobar Islands,2019,2,744104,6142,15625676.56088324,Southern Region
Andaman and Nicobar Islands,2019,2,744103,5847,23751450.06720698,Southern Region
Andaman and Nicobar Islands,2019,2,744101,4863,19061125.41121897,Southern Region
Andaman and Nicobar Islands,2019,2,744102,4120,18948733.987097774,Southern Region
Andaman and Nicobar Islands,2019,2,744105,3500,13418692.199162649,Southern Region
Andaman and Nicobar Islands,2019,2,744202,1153,3619993.3910789257,Southern Region
Andaman and Nicobar Islands,2019,2,744107,1124,2967445.3902032813,Southern Region
Andaman and Nicobar Islands,2019,2,744211,1047,3168331.9917352106,Southern Region
Andaman and Nicobar Islands,2019,2,744301,1007,4849284.51925976,Southern Region
Andaman and Nicobar Islands,2019,2,744112,763,2928099.608406143,Southern Region
Andaman and Nicobar Islands,2019,3,744103,5680,19906337.01425558,Southern Region
Andaman and Nicobar Islands,2019,3,744101,5606,18745152.09351563,Southern Region
Andaman and Nicobar Islands,2019,3,744104,4786,15754793.35482645,Southern Region
Andaman and Nicobar Islands,2019,3,744102,3643,14572605.602745282,Southern Region
Andaman and Nicobar Islands,2019,3,744105,3512,11767223.99688773,Southern Region
Andaman and Nicobar Islands,2019,3,744202,1417,3875602.0982028744,Southern Region
Andaman and Nicobar Islands,2019,3,744301,1402,6195496.621729916,Southern Region
Andaman and Nicobar Islands,2019,3,744211,1118,2983697.449378184,Southern Region
Andaman and Nicobar Islands,2019,3,744107,914,1988299.759710987,Southern Region
Andaman and Nicobar Islands,2019,3,744112,833,2198831.6919406196,Southern Region
Andaman and Nicobar Islands,2019,4,744104,6633,20626642.701508522,Southern Region
Andaman and Nicobar Islands,2019,4,744101,5282,23247752.473849062,Southern Region
Andaman and Nicobar Islands,2019,4,744103,4840,19792507.95576104,Southern Region
Andaman and Nicobar Islands,2019,4,744105,3528,15302141.174880259,Southern Region
Andaman and Nicobar Islands,2019,4,744102,3237,15350444.973207692,Southern Region
Andaman and Nicobar Islands,2019,4,744202,1783,5800016.5561128855,Southern Region
Andaman and Nicobar Islands,2019,4,744211,1596,7908264.721918669,Southern Region
Andaman and Nicobar Islands,2019,4,744301,1549,7056478.928838715,Southern Region
Andaman and Nicobar Islands,2019,4,744201,886,946768.0636478986,Southern Region
Andaman and Nicobar Islands,2019,4,744107,777,3030368.911900454,Southern Region
Andaman and Nicobar Islands,2020,1,744101,11793,58229349.02415232,Southern Region
Andaman and Nicobar Islands,2020,1,744103,5870,22009443.07305397,Southern Region
Andaman and Nicobar Islands,2020,1,744105,4635,16774043.311987929,Southern Region
Andaman and Nicobar Islands,2020,1,744102,3820,14517706.122696761,Southern Region
Andaman and Nicobar Islands,2020,1,744211,1837,8425387.79004211,Southern Region
Andaman and Nicobar Islands,2020,1,744301,1819,6901162.107519586,Southern Region
Andaman and Nicobar Islands,2020,1,744202,1794,5037742.395579022,Southern Region
Andaman and Nicobar Islands,2020,1,744104,1302,5293130.290633954,Southern Region
Andaman and Nicobar Islands,2020,1,744201,1157,1242638.821252932,Southern Region
Andaman and Nicobar Islands,2020,1,744107,1043,2990354.4448547475,Southern Region
Andaman and Nicobar Islands,2020,2,744101,11868,48293323.218519635,Southern Region
Andaman and Nicobar Islands,2020,2,744103,10035,26197535.98945152,Southern Region
Andaman and Nicobar Islands,2020,2,744105,9341,23203019.8589806,Southern Region
Andaman and Nicobar Islands,2020,2,744102,6012,17786750.90751587,Southern Region
Andaman and Nicobar Islands,2020,2,744202,3722,8924121.010762567,Southern Region
Andaman and Nicobar Islands,2020,2,744107,2555,3980470.6853698147,Southern Region
Andaman and Nicobar Islands,2020,2,744301,2275,9055232.527755566,Southern Region
Andaman and Nicobar Islands,2020,2,744211,2045,3319717.6328789736,Southern Region
Andaman and Nicobar Islands,2020,2,744205,1847,4459064.90732021,Southern Region
Andaman and Nicobar Islands,2020,2,744104,1840,3334591.822304932,Southern Region
Andaman and Nicobar Islands,2020,3,744101,24386,100439119.66860779,Southern Region
Andaman and Nicobar Islands,2020,3,744103,21272,60332278.69396809,Southern Region
Andaman and Nicobar Islands,2020,3,744105,17166,44061506.562735885,Southern Region
Andaman and Nicobar Islands,2020,3,744102,13934,43077189.842844136,Southern Region
Andaman and Nicobar Islands,2020,3,744202,5779,11975748.70787692,Southern Region
Andaman and Nicobar Islands,2020,3,744107,4753,7628018.669464628,Southern Region
Andaman and Nicobar Islands,2020,3,744104,3468,7353834.51320935,Southern Region
Andaman and Nicobar Islands,2020,3,744112,3422,6067986.696111794,Southern Region
Andaman and Nicobar Islands,2020,3,744301,3071,13352610.5315597,Southern Region
Andaman and Nicobar Islands,2020,3,744205,2991,7535645.788593667,Southern Region
Andaman and Nicobar Islands,2020,4,744103,46884,138264791.5489212,Southern Region
Andaman and Nicobar Islands,2020,4,744101,40392,136401368.0216659,Southern Region
Andaman and Nicobar Islands,2020,4,744105,34410,87838226.93633425,Southern Region
Andaman and Nicobar Islands,2020,4,744102,26694,76348598.32238364,Southern Region
Andaman and Nicobar Islands,2020,4,744202,10949,25543799.07475996,Southern Region
Andaman and Nicobar Islands,2020,4,744107,9743,18083250.19055397,Southern Region
Andaman and Nicobar Islands,2020,4,744104,7654,19126095.53328488,Southern Region
Andaman and Nicobar Islands,2020,4,744112,7016,15890275.05044848,Southern Region
Andaman and Nicobar Islands,2020,4,744205,5118,12002695.281042239,Southern Region
Andaman and Nicobar Islands,2020,4,744201,5011,6777275.536669218,Southern Region
Andaman and Nicobar Islands,2021,1,744101,55726,190830957.0606181,Southern Region
Andaman and Nicobar Islands,2021,1,744103,47328,158404100.78549892,Southern Region
Andaman and Nicobar Islands,2021,1,744105,35467,111571687.43195161,Southern Region
Andaman and Nicobar Islands,2021,1,744102,23957,80750048.8238959,Southern Region
Andaman and Nicobar Islands,2021,1,744211,10648,34956327.94105429,Southern Region
Andaman and Nicobar Islands,2021,1,744202,10597,28127629.87796158,Southern Region
Andaman and Nicobar Islands,2021,1,744107,8848,19627951.46996915,Southern Region
Andaman and Nicobar Islands,2021,1,744104,8799,27854306.51949638,Southern Region
Andaman and Nicobar Islands,2021,1,744112,7113,21084790.0528014,Southern Region
Andaman and Nicobar Islands,2021,1,744301,5630,22671937.313147593,Southern Region
Andaman and Nicobar Islands,2021,2,744101,73334,227585492.74145928,Southern Region
Andaman and Nicobar Islands,2021,2,744103,66321,174752815.1688521,Southern Region
Andaman and Nicobar Islands,2021,2,744105,52645,134835744.2204924,Southern Region
Andaman and Nicobar Islands,2021,2,744102,34289,100890426.7623405,Southern Region
Andaman and Nicobar Islands,2021,2,744202,16476,40647907.96960775,Southern Region
Andaman and Nicobar Islands,2021,2,744107,14524,24690581.539094772,Southern Region
Andaman and Nicobar Islands,2021,2,744104,11278,28333852.06159348,Southern Region
Andaman and Nicobar Islands,2021,2,744211,10182,20377949.34609452,Southern Region
Andaman and Nicobar Islands,2021,2,744112,9635,21637658.167199597,Southern Region
Andaman and Nicobar Islands,2021,2,744301,8463,27666837.39688266,Southern Region
Andaman and Nicobar Islands,2021,3,744101,116324,388328168.7639693,Southern Region
Andaman and Nicobar Islands,2021,3,744103,84790,246433385.80990058,Southern Region
Andaman and Nicobar Islands,2021,3,744105,67257,185238368.47670782,Southern Region
Andaman and Nicobar Islands,2021,3,744102,43850,131239564.16909719,Southern Region
Andaman and Nicobar Islands,2021,3,744202,19088,48475163.574293144,Southern Region
Andaman and Nicobar Islands,2021,3,744107,16203,37962312.09641009,Southern Region
Andaman and Nicobar Islands,2021,3,744104,14657,35301326.114471875,Southern Region
Andaman and Nicobar Islands,2021,3,744112,11565,28491553.61094001,Southern Region
Andaman and Nicobar Islands,2021,3,744301,11553,43464511.051198,Southern Region
Andaman and Nicobar Islands,2021,3,744211,9655,19497765.25714051,Southern Region
Andaman and Nicobar Islands,2021,4,744101,165719,533026207.97317976,Southern Region
Andaman and Nicobar Islands,2021,4,744103,121613,372243734.2798565,Southern Region
Andaman and Nicobar Islands,2021,4,744105,95028,281223411.74350584,Southern Region
Andaman and Nicobar Islands,2021,4,744102,58258,174623253.4765332,Southern Region
Andaman and Nicobar Islands,2021,4,744211,27938,94222862.10725297,Southern Region
Andaman and Nicobar Islands,2021,4,744104,25662,69245386.08165249,Southern Region
