State,Year,Quarter,District,Registered_users,Latitude,Longitude,Region
Andaman and Nicobar Islands,2018,1,South Andaman,5846,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,1,North and Middle Andaman,632,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,1,Nicobars,262,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,2,South Andaman,8143,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,2,North and Middle Andaman,911,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,2,Nicobars,351,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,3,South Andaman,10474,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,3,North and Middle Andaman,1208,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,3,Nicobars,467,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,4,South Andaman,13133,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2018,4,North and Middle Andaman,1553,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,4,Nicobars,536,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,1,South Andaman,15961,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,1,North and Middle Andaman,2013,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,1,Nicobars,622,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,2,South Andaman,18621,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,2,North and Middle Andaman,2417,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,2,Nicobars,693,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,3,South Andaman,20518,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,3,North and Middle Andaman,2662,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,3,Nicobars,751,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,4,South Andaman,22202,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2019,4,North and Middle Andaman,2955,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,4,Nicobars,803,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,1,South Andaman,24174,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,1,North and Middle Andaman,3315,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2020,1,Nicobars,879,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,2,South Andaman,27626,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,2,North and Middle Andaman,4100,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2020,2,Nicobars,984,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,3,South Andaman,34833,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,3,North and Middle Andaman,5355,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2020,3,Nicobars,1147,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,4,South Andaman,43908,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2020,4,North and Middle Andaman,7076,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2020,4,Nicobars,1412,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,1,South Andaman,48352,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,1,North and Middle Andaman,7833,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2021,1,Nicobars,1573,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,2,South Andaman,51903,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,2,North and Middle Andaman,8493,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2021,2,Nicobars,1699,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,3,South Andaman,55873,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,3,North and Middle Andaman,9263,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2021,3,Nicobars,1846,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,4,South Andaman,59807,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2021,4,North and Middle Andaman,10002,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2021,4,Nicobars,1971,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,1,South Andaman,63487,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,1,North and Middle Andaman,10720,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2022,1,Nicobars,2081,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,2,South Andaman,66959,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,2,North and Middle Andaman,11379,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2022,2,Nicobars,2192,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,3,South Andaman,70445,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,3,North and Middle Andaman,11897,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2022,3,Nicobars,2300,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,4,South Andaman,73692,10.7056905,92.48746789633373,Southern Region
Andaman and Nicobar Islands,2022,4,North and Middle Andaman,12361,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2022,4,Nicobars,2389,10.7056905,92.48746789633373,Southern Region
Andhra Pradesh,2018,1,Visakhapatnam,497187,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,1,East Godavari,350356,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,1,Krishna,323673,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2018,1,Guntur,317065,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,1,Chittoor,309541,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,1,Anantapur,241192,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,1,Kurnool,240133,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2018,1,West Godavari,213335,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2018,1,Spsr Nellore,194475,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2018,1,Prakasam,189949,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,2,Visakhapatnam,636052,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,2,East Godavari,454398,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,2,Krishna,431965,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2018,2,Guntur,420326,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,2,Chittoor,414306,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,2,Anantapur,326383,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,2,Kurnool,319313,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2018,2,West Godavari,282393,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2018,2,Spsr Nellore,261049,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2018,2,Prakasam,253458,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,3,Visakhapatnam,769096,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,3,East Godavari,558982,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,3,Krishna,537086,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2018,3,Guntur,518931,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,3,Chittoor,515727,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,3,Anantapur,405855,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,3,Kurnool,394311,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2018,3,West Godavari,349782,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2018,3,Spsr Nellore,322446,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2018,3,Prakasam,314899,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,4,Visakhapatnam,978288,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,4,East Godavari,694455,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,4,Krishna,682479,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2018,4,Chittoor,665280,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,4,Guntur,659552,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,4,Anantapur,510892,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,4,Kurnool,498582,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2018,4,West Godavari,435668,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2018,4,Spsr Nellore,407495,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2018,4,Prakasam,394962,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2019,1,Visakhapatnam,1174517,18.110744,83.386585,Southern Region
Andhra Pradesh,2019,1,East Godavari,839277,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,1,Krishna,833694,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2019,1,Chittoor,812314,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2019,1,Guntur,802394,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2019,1,Anantapur,612162,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2019,1,Kurnool,599422,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2019,1,West Godavari,523372,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2019,1,Spsr Nellore,491908,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2019,1,Prakasam,474260,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2019,2,Visakhapatnam,1318740,18.110744,83.386585,Southern Region
Andhra Pradesh,2019,2,Krishna,952300,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2019,2,East Godavari,945181,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,2,Chittoor,925491,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2019,2,Guntur,915256,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2019,2,Anantapur,695114,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2019,2,Kurnool,680118,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2019,2,West Godavari,592185,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2019,2,Spsr Nellore,558303,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2019,2,Prakasam,539462,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2019,3,Visakhapatnam,1460464,18.110744,83.386585,Southern Region
Andhra Pradesh,2019,3,Krishna,1066546,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2019,3,East Godavari,1057167,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,3,Chittoor,1032733,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2019,3,Guntur,1026418,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2019,3,Anantapur,773656,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2019,3,Kurnool,755024,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2019,3,West Godavari,662102,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2019,3,Spsr Nellore,619592,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2019,3,Prakasam,598568,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2019,4,Visakhapatnam,1620235,18.110744,83.386585,Southern Region
Andhra Pradesh,2019,4,Krishna,1199971,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2019,4,East Godavari,1195228,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,4,Guntur,1158708,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2019,4,Chittoor,1156351,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2019,4,Anantapur,873033,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2019,4,Kurnool,846885,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2019,4,West Godavari,750078,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2019,4,Spsr Nellore,697154,14.71875825,79.65961022770595,Southern Region
